,PRECINCT_NAME,CANDIDATE_FULL_NAME,contest_party_id,candidate_party_id,CONTEST_TYPE,contest_id,CONTEST_ORDER,CANDIDATE_ORDER,CONTEST_FULL_NAME,TOTAL,PRECINCT_ID,precinct_order,contest_vote_for,PROCESSED_DONE,PROCESSED_STARTED,CONTEST_TOTAL,IS_WRITEIN,undervote,overvote
113559,574 SHALIMAR," - ESPINOZA, KATHLEEN M.",,0,0,115,109,3,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),305,574,574,3,1,1,1310,0,1810,0
113560,574 SHALIMAR," - WELLS, ROCHELLE L.",,0,0,115,109,4,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),361,574,574,3,1,1,1310,0,1810,0
113561,574 SHALIMAR,Write-In Candidate,,0,0,115,109,5,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),4,574,574,3,1,1,1310,1,1810,0
126897,642 TEMPE," - BUDGET INCREASE, YES",,0,4,114,108,1,TEMPE ELEMENTARY ,,,,,,,,,,
126898,642 TEMPE," - BUDGET INCREASE, NO",,0,4,114,108,2,TEMPE ELEMENTARY ,,,,,,,,,,
126899,642 TEMPE," - DEVINE, TERESA L.",,0,0,115,109,1,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),76,642,642,3,1,1,314,0,928,0
126900,642 TEMPE," - DURKIN-BIGHORN, SUZANNE M.",,0,0,115,109,2,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),76,642,642,3,1,1,314,0,928,0
126901,642 TEMPE," - ESPINOZA, KATHLEEN M.",,0,0,115,109,3,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),83,642,642,3,1,1,314,0,928,0
126902,642 TEMPE," - WELLS, ROCHELLE L.",,0,0,115,109,4,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),79,642,642,3,1,1,314,0,928,0
126903,642 TEMPE,Write-In Candidate,,0,0,115,109,5,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),0,642,642,3,1,1,0,1,928,0
129890,657 TULANE," - BUDGET INCREASE, YES",,0,4,114,108,1,TEMPE ELEMENTARY ,,,,,,,,,,
129891,657 TULANE," - BUDGET INCREASE, NO",,0,4,114,108,2,TEMPE ELEMENTARY ,,,,,,,,,,
129892,657 TULANE," - DEVINE, TERESA L.",,0,0,115,109,1,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),395,657,657,3,1,1,1473,0,1998,3
129893,657 TULANE," - DURKIN-BIGHORN, SUZANNE M.",,0,0,115,109,2,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),297,657,657,3,1,1,1473,0,1998,3
129894,657 TULANE," - ESPINOZA, KATHLEEN M.",,0,0,115,109,3,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),383,657,657,3,1,1,1473,0,1998,3
129895,657 TULANE," - WELLS, ROCHELLE L.",,0,0,115,109,4,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),391,657,657,3,1,1,1473,0,1998,3
129896,657 TULANE,Write-In Candidate,,0,0,115,109,5,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),7,657,657,3,1,1,1473,1,1998,3
131074,663 TWIN BUTTES," - BUDGET INCREASE, YES",,0,4,114,108,1,TEMPE ELEMENTARY ,,,,,,,,,,
131075,663 TWIN BUTTES," - BUDGET INCREASE, NO",,0,4,114,108,2,TEMPE ELEMENTARY ,,,,,,,,,,
131076,663 TWIN BUTTES," - DEVINE, TERESA L.",,0,0,115,109,1,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),517,663,663,3,1,1,2040,0,2709,6
131077,663 TWIN BUTTES," - DURKIN-BIGHORN, SUZANNE M.",,0,0,115,109,2,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),442,663,663,3,1,1,2040,0,2709,6
131078,663 TWIN BUTTES," - ESPINOZA, KATHLEEN M.",,0,0,115,109,3,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),525,663,663,3,1,1,2040,0,2709,6
131079,663 TWIN BUTTES," - WELLS, ROCHELLE L.",,0,0,115,109,4,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),546,663,663,3,1,1,2040,0,2709,6
131080,663 TWIN BUTTES,Write-In Candidate,,0,0,115,109,5,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),10,663,663,3,1,1,2040,1,2709,6
132677,671 VICTORY," - BUDGET INCREASE, YES",,0,4,114,108,1,TEMPE ELEMENTARY ,,,,,,,,,,
132678,671 VICTORY," - BUDGET INCREASE, NO",,0,4,114,108,2,TEMPE ELEMENTARY ,,,,,,,,,,
132679,671 VICTORY," - DEVINE, TERESA L.",,0,0,115,109,1,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),382,671,671,3,1,1,1540,0,2111,0
132680,671 VICTORY," - DURKIN-BIGHORN, SUZANNE M.",,0,0,115,109,2,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),339,671,671,3,1,1,1540,0,2111,0
132681,671 VICTORY," - ESPINOZA, KATHLEEN M.",,0,0,115,109,3,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),437,671,671,3,1,1,1540,0,2111,0
132682,671 VICTORY," - WELLS, ROCHELLE L.",,0,0,115,109,4,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),376,671,671,3,1,1,1540,0,2111,0
132683,671 VICTORY,Write-In Candidate,,0,0,115,109,5,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),6,671,671,3,1,1,1540,1,2111,0
137245,694 WESTERN STAR," - BUDGET INCREASE, YES",,0,4,114,108,1,TEMPE ELEMENTARY ,,,,,,,,,,
137246,694 WESTERN STAR," - BUDGET INCREASE, NO",,0,4,114,108,2,TEMPE ELEMENTARY ,,,,,,,,,,
137247,694 WESTERN STAR," - DEVINE, TERESA L.",,0,0,115,109,1,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),2,694,694,3,1,1,12,0,0,0
137248,694 WESTERN STAR," - DURKIN-BIGHORN, SUZANNE M.",,0,0,115,109,2,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),3,694,694,3,1,1,12,0,0,0
137249,694 WESTERN STAR," - ESPINOZA, KATHLEEN M.",,0,0,115,109,3,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),3,694,694,3,1,1,12,0,0,0
137250,694 WESTERN STAR," - WELLS, ROCHELLE L.",,0,0,115,109,4,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),4,694,694,3,1,1,12,0,0,0
137251,694 WESTERN STAR,Write-In Candidate,,0,0,115,109,5,TEMPE ELEM NO. 3 GOV BRD - 4 YR (vote for 3),0,694,694,3,1,1,0,1,0,0
